date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_electricity_sink_input1,01_heat_sink_input1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-04 10:00:00,0.0,0.0,1.9412402,0.73740613,0.73740613,0.040333717,0.040333717,1.3003424,0.0,4.3815666,0.5563332238633311,1.219442658997439,0.1741319,0.1741319,1.0453108,1.0453108,0.0,0.0,0.040333717,0.13379818,0.1741319,2.6786464,0.14073919,2.4691086,2.3456532
2012-01-04 11:00:00,0.0,0.0,1.206871,0.97078413,0.97078413,0.26747338,0.26747338,2.2684962,0.0,6.6500628,0.5672009800318766,1.154757095553567,1.1547571,1.1547571,0.0,0.0,0.0,0.0,0.26747338,0.88728372,1.1547571,2.1776551,0.13610977,2.3878907,2.2684962
2012-01-04 12:00:00,0.0,0.0,1.2951052,1.0137082,1.0137082,0.24527642,0.24527642,2.297037,0.0,8.9470998,0.6306095426770292,1.0589266311922751,1.0589266,1.0589266,0.0,0.0,0.0,0.0,0.24527642,0.81365021,1.0589266,2.3088134,0.13782222,2.4179337,2.297037
2012-01-04 13:00:00,0.0,0.0,1.9342193,0.96310449,0.96310449,0.21974991,0.21974991,2.2213649,0.0,11.168465,0.6100726799173515,0.9487215971767896,0.9487216,0.9487216,0.0,0.0,0.0,0.0,0.21974991,0.72897168,0.9487216,2.8973238,0.1332819,2.3382789,2.2213649
2012-01-04 14:00:00,0.0,0.0,2.5962709,0.86445676,0.86445676,0.20920636,0.20920636,2.1460592,0.0,13.314524,0.5264868493857451,0.9032021266051757,0.90320213,0.90320213,0.0,0.0,0.0,0.0,0.20920636,0.69399577,0.90320213,3.4607277,0.12876355,2.2590097,2.1460592
2012-01-04 15:00:00,0.58661612,0.0,0.0,0.0,0.0,-0.0,0.0,1.0088314,0.0,14.323355,0.4746252776696718,0.8576826560335622,0.0,0.0,0.85768266,0.85768266,0.0,0.0,0.0,0.0,0.0,0.0,0.11199084,1.9647517,1.8665141
2012-01-04 16:00:00,0.56319057,0.0,0.0,0.0,0.0,-0.0,0.0,0.78654583,0.0,15.109901,0.4586432833041639,0.9559088820038864,0.0,0.0,0.95590888,0.95590888,0.0,0.0,0.0,0.0,0.0,0.0,0.10454728,1.8341628,1.7424547
2012-01-04 17:00:00,0.57207047,0.0,0.0,0.0,0.0,-0.0,0.0,0.35470733,0.0,15.464609,0.4894086224577666,1.022990207056791,0.0,0.0,1.0229902,1.0229902,0.0,0.0,0.0,0.0,0.0,0.0,0.082661852,1.4502079,1.3776975
2012-01-04 18:00:00,0.56804003,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0972588,14.344957,0.5680400347360656,1.0972588169367918,0.0,0.0,1.0972588,1.0972588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 19:00:00,0.6599365,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.2338172,13.08596,0.6599365023377363,1.233817228651633,0.0,0.0,1.2338172,1.2338172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 20:00:00,0.66557016,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.245796,11.814739,0.6655701553515778,1.2457960366967942,0.0,0.0,1.245796,1.245796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 21:00:00,0.6294908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0589266,10.734202,0.6294908030714437,1.0589266311922751,0.0,0.0,1.0589266,1.0589266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 22:00:00,0.5773895,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.73549881,9.9836927,0.5773895014398879,0.735498813972915,0.0,0.0,0.73549881,0.73549881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 23:00:00,0.44781548,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.35457272,9.6218838,0.44781548212153227,0.3545727181367799,0.0,0.0,0.35457272,0.35457272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 00:00:00,0.29426847,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.29607658,9.3197649,0.2942684712549148,0.2960765801234039,0.0,0.0,0.29607658,0.29607658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 01:00:00,0.21911314,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.31744293,8.9958435,0.21911314275111374,0.31744293126632994,0.0,0.0,0.31744293,0.31744293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 02:00:00,0.19889592,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.33880928,8.6501197,0.19889591987874622,0.338809282409256,0.0,0.0,0.33880928,0.33880928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 03:00:00,0.18722906,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.49142608,8.1486646,0.1872290639919254,0.4914260762872992,0.0,0.0,0.49142608,0.49142608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 04:00:00,0.19490042,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.88822974,7.2423077,0.1949004212873692,0.8882297403702116,0.0,0.0,0.88822974,0.88822974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 05:00:00,0.23677325,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2.0298034,5.1710798,0.23677324652499998,2.029803358577975,0.0,0.0,2.0298034,2.0298034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 06:00:00,0.40977432,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2.2170839,2.9087493,0.3911593120958066,2.527334106620396,0.0,0.0,2.5273341,2.5273341,0.0,0.0,0.0,0.0,0.0,0.0,0.018615013,0.32657917,0.31025021
2012-01-05 07:00:00,0.59800304,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.96929366,1.9196741,0.5182561222875085,2.2984089158033316,0.0,0.0,2.2984089,2.2984089,0.0,0.0,0.0,0.0,0.0,0.0,0.079746915,1.3990687,1.3291153
2012-01-05 08:00:00,0.6652471,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.19735658,1.7182898,0.5659224204826359,1.8527678776794447,0.0,0.0,1.8527679,1.8527679,0.0,0.0,0.0,0.0,0.0,0.0,0.099324678,1.7425382,1.6554113
2012-01-05 09:00:00,0.0,0.0,0.080165957,1.1193289,1.1193289,0.42420276,0.42420276,1.9915784,0.0,3.7098682,0.575631482059682,1.8314015265365189,1.8314015,1.8314015,0.0,0.0,0.0,0.0,0.42420276,1.4071988,1.8314015,1.1994949,0.1194947,2.0963983,1.9915784
2012-01-05 10:00:00,0.0,0.0,1.0636212,1.035267,1.035267,0.35986535,0.35986535,1.9844731,0.0,5.6943413,0.5563332238633311,1.5536389616784803,1.553639,1.553639,0.0,0.0,0.0,0.0,0.35986535,1.1937736,1.553639,2.0988882,0.11906839,2.0889191,1.9844731
2012-01-05 11:00:00,0.0,0.0,1.42746,1.0448715,1.0448715,0.34077622,0.34077622,2.2815717,0.0,7.9759131,0.5672009800318766,1.4712258929843367,1.4712259,1.4712259,0.0,0.0,0.0,0.0,0.34077622,1.1304497,1.4712259,2.4723315,0.1368943,2.4016545,2.2815717
2012-01-05 12:00:00,0.0,0.0,1.4915692,1.0811416,1.0811416,0.31249604,0.31249604,2.3006002,0.0,10.276513,0.6306095426770292,1.3491324578819024,1.3491325,1.3491325,0.0,0.0,0.0,0.0,0.31249604,1.0366364,1.3491325,2.5727108,0.13803601,2.4216845,2.3006002
2012-01-05 13:00:00,0.0,0.0,1.732409,1.022001,1.022001,0.27997382,0.27997382,2.199241,0.0,12.475754,0.6100726799173515,1.2087250075141025,1.208725,1.208725,0.0,0.0,0.0,0.0,0.27997382,0.92875118,1.208725,2.7544099,0.13195446,2.3149906,2.199241
2012-01-05 14:00:00,0.0,0.0,1.4254275,0.91983875,0.91983875,0.26654074,0.26654074,2.1135193,0.0,14.589274,0.5264868493857451,1.150730625840446,1.1507306,1.1507306,0.0,0.0,0.0,0.0,0.26654074,0.88418989,1.1507306,2.3452663,0.12681116,2.2247572,2.1135193
2012-01-05 15:00:00,0.33973895,0.0,0.0,0.24998737,0.24998737,-0.0,0.0,0.82561439,0.0,15.414888,0.4746252776696718,1.0927362441667896,0.0,0.0,1.0927362,1.0927362,0.0,0.0,0.0,0.0,0.0,0.24998737,0.11510104,2.0193165,1.9183506
2012-01-05 16:00:00,0.53469943,0.0,0.0,0.0,0.0,-0.0,0.0,0.049720502,0.0,15.464609,0.4586432833041639,1.2178820151467848,0.0,0.0,1.217882,1.217882,0.0,0.0,0.0,0.0,0.0,0.0,0.076056151,1.3343184,1.2676025
2012-01-05 17:00:00,0.48940862,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.3033474,14.134662,0.4894086224577666,1.3033474197184893,0.0,0.0,1.3033474,1.3033474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 18:00:00,0.56804003,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.3979698,12.708162,0.5680400347360656,1.3979698319228762,0.0,0.0,1.3979698,1.3979698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 19:00:00,0.6599365,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.571953,11.104129,0.6599365023377363,1.5719529769438452,0.0,0.0,1.571953,1.571953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 20:00:00,0.66557016,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.5872147,9.4845219,0.6655701553515778,1.5872146563316496,0.0,0.0,1.5872147,1.5872147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 21:00:00,0.6294908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.3491325,8.1078562,0.6294908030714437,1.3491324578819024,0.0,0.0,1.3491325,1.3491325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 22:00:00,0.5773895,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.93706711,7.1516652,0.5773895014398879,0.9370671144111855,0.0,0.0,0.93706711,0.93706711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05 23:00:00,0.44781548,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.45174571,6.6907002,0.44781548212153227,0.451745709879008,0.0,0.0,0.45174571,0.45174571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 00:00:00,0.33162638,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.28015083,6.404832,0.33162638308428954,0.28015083366271576,0.0,0.0,0.28015083,0.28015083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 01:00:00,0.25703042,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.3003679,6.0983342,0.2570304243832813,0.30036790413322095,0.0,0.0,0.3003679,0.3003679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 02:00:00,0.20900453,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.32058497,5.7712066,0.20900453131493,0.32058497460372626,0.0,0.0,0.32058497,0.32058497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 03:00:00,0.19993475,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.46499262,5.2967244,0.19993474951250423,0.46499262082162096,0.0,0.0,0.46499262,0.46499262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 04:00:00,0.20169277,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.8404525,4.4391198,0.2016927688927101,0.8404525009881472,0.0,0.0,0.8404525,0.8404525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 05:00:00,0.20628759,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.9206217,2.4793017,0.2062875922727936,1.9206216946979997,0.0,0.0,1.9206217,1.9206217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 06:00:00,0.25455322,1.8284433,0.0,0.0,0.0,-0.0,0.0,0.0,0.74579165,1.7182898,0.25455321525662755,2.3913906213683362,1.645599,1.645599,0.74579165,0.74579165,1.8284433,1.645599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 07:00:00,0.38894773,2.1029609,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.3720208738431109,2.1747791520414945,1.8926648,1.8926648,0.28211435,0.28211435,2.1029609,1.8926648,0.0,0.0,0.0,0.0,0.016926861,0.29696247,0.28211435
2012-01-06 08:00:00,0.54397318,1.3725094,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.5129021541750634,1.7531088250852416,1.2352584,1.2352584,0.5178504,0.5178504,1.3725094,1.2352584,0.0,0.0,0.0,0.0,0.031071024,0.54510568,0.5178504
2012-01-06 09:00:00,0.0,0.0,2.374131,1.1436082,1.1436082,0.4013852,0.4013852,1.9987347,0.0,3.7170245,0.622298905606965,1.7328917546147362,1.7328918,1.7328918,0.0,0.0,0.0,0.0,0.4013852,1.3315066,1.7328918,3.5177391,0.11992408,2.1039312,1.9987347
2012-01-06 10:00:00,0.0,0.0,2.7043968,1.1329216,1.1329216,0.34050845,0.34050845,2.2285882,0.0,5.9456127,0.6586978977744095,1.470069838498168,1.4700698,1.4700698,0.0,0.0,0.0,0.0,0.34050845,1.1295614,1.4700698,3.8373184,0.13371529,2.3458823,2.2285882
2012-01-06 11:00:00,0.0,0.0,2.9116402,1.1425347,1.1425347,0.32244611,0.32244611,2.2723146,0.0,8.2179273,0.6837496739423431,1.392089709540505,1.3920897,1.3920897,0.0,0.0,0.0,0.0,0.32244611,1.0696436,1.3920897,4.0541748,0.13633888,2.3919101,2.2723146
2012-01-06 12:00:00,0.0,0.0,2.8727627,1.1572824,1.1572824,0.2956871,0.2956871,2.2322521,0.0,10.450179,0.7276602034615761,1.2765635925661893,1.2765636,1.2765636,0.0,0.0,0.0,0.0,0.2956871,0.98087649,1.2765636,4.0300452,0.13393513,2.3497391,2.2322521
2012-01-06 13:00:00,0.0,0.0,2.6641885,1.0905936,1.0905936,0.26491423,0.26491423,2.0425249,0.0,12.492704,0.7031278421105214,1.1437085580457262,1.1437086,1.1437086,0.0,0.0,0.0,0.0,0.26491423,0.87879432,1.1437086,3.7547821,0.12255149,2.1500262,2.0425249
2012-01-06 14:00:00,0.0,0.0,2.3616807,0.94149825,0.94149825,0.2522037,0.2522037,1.0213679,0.0,13.514072,0.6280124685926342,1.088833652482926,1.0888337,1.0888337,0.0,0.0,0.0,0.0,0.2522037,0.83662995,1.0888337,3.303179,0.061282075,1.0751241,1.0213679
2012-01-06 15:00:00,0.0,0.0,0.032026929,0.87967159,0.87967159,0.23949317,0.23949317,0.79010406,0.0,14.304176,0.5927721710166892,1.033958746920126,1.0339587,1.0339587,0.0,0.0,0.0,0.0,0.23949317,0.79446558,1.0339587,0.91169851,0.047406244,0.83168848,0.79010406
2012-01-06 16:00:00,0.58928228,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.97746718,13.306761,0.5787879259468697,1.1523730168187998,0.0,0.0,1.152373,1.152373,0.0,0.0,0.0,0.0,0.0,0.0,0.01049435,0.1841114,0.17490583
2012-01-06 17:00:00,0.59516947,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.2332413,12.048351,0.5951694701715153,1.2332412987008208,0.0,0.0,1.2332413,1.2332413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 18:00:00,0.66517061,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.322774,10.698582,0.6651706054924401,1.3227740393559155,0.0,0.0,1.322774,1.322774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 19:00:00,0.72074799,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.4873988,9.180828,0.720747990898494,1.4873987560443154,0.0,0.0,1.4873988,1.4873988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 20:00:00,0.6907418,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.5018395,7.6483387,0.6907417964772528,1.5018395206661048,0.0,0.0,1.5018395,1.5018395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 21:00:00,0.61458759,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.2765636,6.3457228,0.6145875933256075,1.2765635925661893,0.0,0.0,1.2765636,1.2765636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 22:00:00,0.59369114,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.88666295,5.4409647,0.5936911356927059,0.8866629477778735,0.0,0.0,0.88666295,0.88666295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06 23:00:00,0.49807885,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.42744663,5.0047947,0.4980788544010547,0.42744663280496836,0.0,0.0,0.42744663,0.42744663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 00:00:00,0.33678058,0.054351668,0.0,0.0,0.0,-0.0,0.0,0.0,2.9210927,2.0240878,0.3367805762671659,2.9700092287684843,0.048916501,0.048916501,2.9210927,2.9210927,0.054351668,0.048916501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 01:00:00,0.24852001,3.0531175,0.0,0.0,0.0,-0.0,0.0,0.0,0.29968199,1.7182898,0.24852001238364832,3.0474877303885317,2.7478057,2.7478057,0.29968199,0.29968199,3.0531175,2.7478057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 02:00:00,0.19537988,3.4721847,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.19537988111833446,3.1249662320085787,3.1249662,3.1249662,0.0,0.0,3.4721847,3.1249662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 03:00:00,0.17696063,3.7447942,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.17696063261208655,3.3703148204720623,3.3703148,3.3703148,0.0,0.0,3.7447942,3.3703148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 04:00:00,0.17240576,4.4908835,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.1724057642179168,4.041795167845806,4.0417952,4.0417952,0.0,0.0,4.4908835,4.0417952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 05:00:00,0.17284527,6.4565418,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.17284526906296827,5.810887621503555,5.8108876,5.8108876,0.0,0.0,6.4565418,5.8108876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 06:00:00,0.18279406,8.2643735,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.18279406055549696,7.43793615552455,7.4379362,7.4379362,0.0,0.0,8.2643735,7.4379362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 07:00:00,0.26194489,7.7191544,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.261944887650675,6.947238978597585,6.947239,6.947239,0.0,0.0,7.7191544,6.947239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 08:00:00,0.45595864,7.1173306,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.44437935333294803,6.598585721307371,6.4055976,6.4055976,0.19298814,0.19298814,7.1173306,6.4055976,0.0,0.0,0.0,0.0,0.011579288,0.20314541,0.19298814
2012-01-07 09:00:00,0.0,0.0,0.96338764,2.1594349,2.1594349,1.4596197,1.4596197,1.0395561,0.0,2.757846,0.6374418452682838,6.301584798430523,6.3015848,6.3015848,0.0,0.0,0.0,0.0,1.4596197,4.8419651,6.3015848,3.1228225,0.062373369,1.0942696,1.0395561
2012-01-07 10:00:00,0.0,0.0,1.3281097,2.223186,2.223186,1.3908261,1.3908261,1.547218,0.0,4.3050639,0.7395268342779657,6.004583875553674,6.0045839,6.0045839,0.0,0.0,0.0,0.0,1.3908261,4.6137578,6.0045839,3.5512957,0.092833078,1.6286505,1.547218
2012-01-07 11:00:00,0.0,0.0,1.5107166,2.2565381,2.2565381,1.3399787,1.3399787,1.612051,0.0,5.917115,0.8198363559646432,5.785061454296873,5.7850615,5.7850615,0.0,0.0,0.0,0.0,1.3399787,4.4450827,5.7850615,3.7672547,0.09672306,1.6968958,1.612051
2012-01-07 12:00:00,0.0,0.0,0.52629439,2.2327733,2.2327733,1.3130595,1.3130595,1.4908191,0.0,7.4079341,0.830264607288137,5.668843701866803,5.6688437,5.6688437,0.0,0.0,0.0,0.0,1.3130595,4.3557842,5.6688437,2.7590676,0.089449148,1.5692833,1.4908191
2012-01-07 13:00:00,0.0,0.0,0.0,1.3742939,1.3742939,0.62180635,0.62180635,0.0,1.6606414,5.7134021,0.6738408374357282,5.6559306182634606,2.6845112,2.6845112,2.9714194,2.9714194,0.0,0.0,0.62180635,2.0627049,2.6845112,1.3742939,0.078646679,1.3797663,1.310778
2012-01-07 14:00:00,0.0,0.0,0.0,1.5051507,1.5051507,0.96084392,0.96084392,0.0,1.6110044,4.0695201,0.5443067731032863,5.759235287090191,4.1482309,4.1482309,1.6110044,1.6110044,0.0,0.0,0.96084392,3.187387,4.1482309,1.5051507,0.0,0.0,0.0
2012-01-07 15:00:00,0.060198782,4.0254442,0.0,0.4232965,0.4232965,-0.0,0.0,0.0,2.3042056,1.7182898,0.48349528454252866,5.927105373933627,3.6228998,3.6228998,2.3042056,2.3042056,4.0254442,3.6228998,0.0,0.0,0.0,0.4232965,0.0,0.0,0.0
2012-01-07 16:00:00,0.428717,6.9156737,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.4287169988547503,6.224106296810475,6.2241063,6.2241063,0.0,0.0,6.9156737,6.2241063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 17:00:00,0.44649697,7.1882832,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.44649696758637786,6.469454885273959,6.4694549,6.4694549,0.0,0.0,7.1882832,6.4694549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 18:00:00,0.54958083,7.2600226,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.549580831243904,6.534020303290665,6.5340203,6.5340203,0.0,0.0,7.2600226,6.5340203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 19:00:00,0.64295563,7.2456747,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.642955633324384,6.521107219687324,6.5211072,6.5211072,0.0,0.0,7.2456747,6.5211072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 20:00:00,0.61818354,6.9443694,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.6181835420578468,6.249932464017157,6.2499325,6.2499325,0.0,0.0,6.9443694,6.2499325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 21:00:00,0.57503216,6.1552365,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.5750321572709753,5.53971286583339,5.5397129,5.5397129,0.0,0.0,6.1552365,5.5397129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 22:00:00,0.5100254,4.4047963,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.5100253951892718,3.9643166662257596,3.9643167,3.9643167,0.0,0.0,4.4047963,3.9643167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
